ano,experiencia,contrato,cargo,salario,moeda,salario_em_usd,residencia,tipo_trabalho,localizacao_empresa,tamanho_empresa,residencia_iso3
2025,Pleno,Integral,Data Scientist,115498,USD,115498,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,80766,USD,80766,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,155000,USD,155000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,58844,USD,58844,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,170000,USD,170000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,110000,USD,110000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,122400,USD,122400,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,59795,USD,59795,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,245000,USD,245000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,167250,USD,167250,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,220700,USD,220700,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,193400,USD,193400,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,180000,USD,180000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,128000,USD,128000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,169523,USD,169523,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,113015,USD,113015,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,138000,USD,138000,DE,Presencial,DE,Média,DEU
2025,Pleno,Integral,Data Scientist,102000,USD,102000,DE,Presencial,DE,Média,DEU
2025,Senior,Integral,Data Scientist,135400,USD,135400,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,77400,USD,77400,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,113100,USD,113100,CA,Presencial,CA,Média,CAN
2025,Pleno,Integral,Data Scientist,60900,USD,60900,CA,Presencial,CA,Média,CAN
2025,Pleno,Integral,Data Scientist,188760,USD,188760,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,101640,USD,101640,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,50000,EUR,52631,FR,Presencial,FR,Média,FRA
2025,Senior,Integral,Data Scientist,45000,EUR,47368,FR,Presencial,FR,Média,FRA
2025,Junior,Integral,Data Scientist,72000,EUR,75789,NL,Presencial,NL,Média,NLD
2025,Junior,Integral,Data Scientist,36000,EUR,37894,NL,Presencial,NL,Média,NLD
2025,Senior,Integral,Data Scientist,160000,USD,160000,CA,Remoto,CA,Média,CAN
2025,Senior,Integral,Data Scientist,140000,USD,140000,CA,Remoto,CA,Média,CAN
2025,Senior,Integral,Data Scientist,203000,USD,203000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,169000,USD,169000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,264801,USD,264801,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,176534,USD,176534,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,190000,USD,190000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,135000,USD,135000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,224400,USD,224400,CA,Remoto,CA,Média,CAN
2025,Senior,Integral,Data Scientist,149600,USD,149600,CA,Remoto,CA,Média,CAN
2025,Senior,Integral,Data Scientist,276540,USD,276540,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,167600,USD,167600,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,114000,EUR,120000,IE,Presencial,IE,Média,IRL
2025,Senior,Integral,Data Scientist,76000,EUR,80000,IE,Presencial,IE,Média,IRL
2025,Senior,Integral,Data Scientist,160000,USD,160000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,140000,USD,140000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,140000,USD,140000,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,115000,USD,115000,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,196900,USD,196900,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,173536,USD,173536,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,235400,USD,235400,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,203302,USD,203302,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,131100,USD,131100,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,96900,USD,96900,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,50000,EUR,52631,FR,Presencial,FR,Média,FRA
2025,Senior,Integral,Data Scientist,45000,EUR,47368,FR,Presencial,FR,Média,FRA
2025,Senior,Integral,Data Scientist,250000,USD,250000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,200000,USD,200000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,259200,USD,259200,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,157000,USD,157000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,191869,USD,191869,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,137049,USD,137049,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,153925,USD,153925,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,85150,USD,85150,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,270250,USD,270250,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,199750,USD,199750,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,113900,USD,113900,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,73500,USD,73500,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,160000,USD,160000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,110000,USD,110000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,175000,USD,175000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,126000,USD,126000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,178600,USD,178600,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,89300,USD,89300,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,105000,USD,105000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,85000,USD,85000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,151100,USD,151100,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,88900,USD,88900,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,189000,USD,189000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,160000,USD,160000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,186000,USD,186000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,150000,USD,150000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,225000,USD,225000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,99000,USD,99000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,58344,EUR,61414,AT,Presencial,AT,Média,AUT
2025,Senior,Integral,Data Scientist,45300,EUR,47684,AT,Presencial,AT,Média,AUT
2025,Senior,Integral,Data Scientist,191500,USD,191500,AU,Presencial,AU,Média,AUS
2025,Senior,Integral,Data Scientist,159800,USD,159800,AU,Presencial,AU,Média,AUS
2025,Senior,Integral,Data Scientist,235400,USD,235400,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,218284,USD,218284,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,125000,USD,125000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,100000,USD,100000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,63000,GBP,79746,GB,Presencial,GB,Média,GBR
2025,Senior,Integral,Data Scientist,44905,GBP,56841,GB,Presencial,GB,Média,GBR
2025,Senior,Integral,Data Scientist,195000,USD,195000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,143000,USD,143000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,165500,USD,165500,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,110300,USD,110300,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,155350,USD,155350,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,110000,USD,110000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,160000,USD,160000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,94000,USD,94000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,146350,USD,146350,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,103600,USD,103600,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,235100,USD,235100,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,142500,USD,142500,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,180000,USD,180000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,110000,USD,110000,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,246200,USD,246200,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,165000,USD,165000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,212850,USD,212850,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,123500,USD,123500,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,157500,USD,157500,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,117200,USD,117200,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,125327,USD,125327,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,73722,USD,73722,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,188500,USD,188500,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,121500,USD,121500,US,Remoto,US,Média,USA
2025,Executivo,Integral,Data Scientist,140000,USD,140000,US,Presencial,US,Média,USA
2025,Executivo,Integral,Data Scientist,99900,USD,99900,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,163000,USD,163000,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,150000,USD,150000,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,150000,USD,150000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,90000,USD,90000,US,Presencial,US,Média,USA
2025,Executivo,Integral,Data Scientist,235000,USD,235000,US,Presencial,US,Média,USA
2025,Executivo,Integral,Data Scientist,205000,USD,205000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,290000,USD,290000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,131800,USD,131800,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,205000,USD,205000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,95000,USD,95000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,303900,USD,303900,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,217000,USD,217000,US,Remoto,US,Média,USA
2025,Junior,Integral,Data Scientist,137946,USD,137946,US,Remoto,US,Média,USA
2025,Junior,Integral,Data Scientist,78446,USD,78446,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,128000,USD,128000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,80000,USD,80000,US,Presencial,US,Média,USA
2025,Executivo,Integral,Data Scientist,200000,USD,200000,US,Presencial,US,Média,USA
2025,Executivo,Integral,Data Scientist,141170,USD,141170,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,286000,USD,286000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,110000,USD,110000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,168246,USD,168246,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,112164,USD,112164,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,130000,USD,130000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,125000,USD,125000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,131000,USD,131000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,83000,USD,83000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,153925,USD,153925,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,85150,USD,85150,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,150000,USD,150000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,120000,USD,120000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,245300,USD,245300,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,147200,USD,147200,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,264846,USD,264846,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,143060,USD,143060,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,62000,USD,62000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,48000,USD,48000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,175000,USD,175000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,145000,USD,145000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,125000,USD,125000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,100000,USD,100000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,180500,USD,180500,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,114700,USD,114700,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,180000,USD,180000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,140000,USD,140000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,173000,USD,173000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,138000,USD,138000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,210000,USD,210000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,139000,USD,139000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,150000,USD,150000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,112000,USD,112000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,150000,USD,150000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,112000,USD,112000,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,110000,USD,110000,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,85000,USD,85000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,81600,EUR,85894,LT,Presencial,LT,Média,LTU
2025,Senior,Integral,Data Scientist,42000,EUR,44210,LT,Presencial,LT,Média,LTU
2025,Senior,Integral,Data Scientist,338400,PLN,83144,PL,Presencial,PL,Média,POL
2025,Senior,Integral,Data Scientist,211200,PLN,51891,PL,Presencial,PL,Média,POL
2025,Senior,Integral,Data Scientist,192400,USD,192400,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,93800,USD,93800,US,Presencial,US,Média,USA
2025,Junior,Integral,Data Scientist,176000,USD,176000,US,Presencial,US,Média,USA
2025,Junior,Integral,Data Scientist,77600,USD,77600,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,225000,USD,225000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,99000,USD,99000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,270000,USD,270000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,185000,USD,185000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,174980,USD,174980,CA,Presencial,CA,Média,CAN
2025,Senior,Integral,Data Scientist,94220,USD,94220,CA,Presencial,CA,Média,CAN
2025,Senior,Integral,Data Scientist,207000,USD,207000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,128500,USD,128500,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,335720,USD,335720,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,163064,USD,163064,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,190000,USD,190000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,152000,USD,152000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,190000,USD,190000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,152000,USD,152000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,145000,USD,145000,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,115000,USD,115000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,335720,USD,335720,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,163064,USD,163064,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,95000,EUR,100000,FR,Presencial,FR,Média,FRA
2025,Senior,Integral,Data Scientist,65000,EUR,68421,FR,Presencial,FR,Média,FRA
2025,Junior,Integral,Data Scientist,215400,USD,215400,US,Presencial,US,Média,USA
2025,Junior,Integral,Data Scientist,100600,USD,100600,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,202000,USD,202000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,141000,USD,141000,US,Presencial,US,Média,USA
2025,Junior,Integral,Data Scientist,215400,USD,215400,US,Presencial,US,Média,USA
2025,Junior,Integral,Data Scientist,100600,USD,100600,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,179000,USD,179000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,112000,USD,112000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,81000,USD,81000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,72000,USD,72000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,158999,USD,158999,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,102856,USD,102856,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,223400,USD,223400,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,109200,USD,109200,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,192400,USD,192400,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,109000,USD,109000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,247500,USD,247500,CA,Presencial,CA,Média,CAN
2025,Senior,Integral,Data Scientist,180000,USD,180000,CA,Presencial,CA,Média,CAN
2025,Senior,Integral,Data Scientist,265300,USD,265300,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,140400,USD,140400,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,245400,USD,245400,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,139000,USD,139000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,218000,USD,218000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,103000,USD,103000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,235400,USD,235400,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,220090,USD,220090,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,229000,USD,229000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,156000,USD,156000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,110000,USD,110000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,97000,USD,97000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,220000,USD,220000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,160000,USD,160000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,120925,USD,120925,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,85600,USD,85600,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,196125,USD,196125,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,135300,USD,135300,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,175000,USD,175000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,133000,USD,133000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,181900,USD,181900,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,109000,USD,109000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,162150,USD,162150,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,89700,USD,89700,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,297000,USD,297000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,138000,USD,138000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,221100,USD,221100,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,114700,USD,114700,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,184900,USD,184900,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,98500,USD,98500,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,189200,USD,189200,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,103200,USD,103200,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,48000,EUR,50526,ES,Remoto,ES,Média,ESP
2025,Pleno,Integral,Data Scientist,38400,EUR,40421,ES,Remoto,ES,Média,ESP
2025,Senior,Integral,Data Scientist,297000,USD,297000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,168300,USD,168300,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,225000,USD,225000,GB,Presencial,GB,Média,GBR
2025,Senior,Integral,Data Scientist,99000,USD,99000,GB,Presencial,GB,Média,GBR
2025,Pleno,Integral,Data Scientist,176000,USD,176000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,77600,USD,77600,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,212800,USD,212800,US,Presencial,US,Grande,USA
2025,Pleno,Integral,Data Scientist,125500,USD,125500,US,Presencial,US,Grande,USA
2025,Senior,Integral,Data Scientist,175000,USD,175000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,140000,USD,140000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,200000,USD,200000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,120000,USD,120000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,203200,USD,203200,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,162600,USD,162600,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,250000,USD,250000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,190000,USD,190000,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,178000,USD,178000,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,112000,USD,112000,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,271000,USD,271000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,183000,USD,183000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,258000,USD,258000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,119800,USD,119800,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,92200,USD,92200,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,70000,USD,70000,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,110400,USD,110400,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,75200,USD,75200,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,123400,USD,123400,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,60500,USD,60500,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,165600,USD,165600,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,120900,USD,120900,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,124941,USD,124941,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,85081,USD,85081,US,Presencial,US,Média,USA
2025,Pleno,Integral,Data Scientist,96863,USD,96863,AU,Presencial,AU,Média,AUS
2025,Pleno,Integral,Data Scientist,86511,USD,86511,AU,Presencial,AU,Média,AUS
2025,Pleno,Integral,Data Scientist,155700,USD,155700,US,Remoto,US,Média,USA
2025,Pleno,Integral,Data Scientist,103800,USD,103800,US,Remoto,US,Média,USA
2025,Senior,Integral,Data Scientist,203900,USD,203900,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,138900,USD,138900,US,Presencial,US,Média,USA
2025,Senior,Integral,Data Scientist,212850,USD,212850,US,Presencial,US,Média,USA
